"OldPath","NewPath","Category","Title"
"docs/adr/0001-actions-vs-services.md","docs/architecture/decisions/0001-actions-vs-services.md","docs/architecture/decisions","ADR-0001: business logic lives in `services/`, not `actions/`"
"docs/adr/0002-org-scoped-prisma-extension.md","docs/architecture/decisions/0002-org-scoped-prisma-extension.md","docs/architecture/decisions","ADR-0002: org-scoped Prisma client extension as cross-tenant defence"
"docs/adr/0003-mfa-via-otplib.md","docs/architecture/decisions/0003-mfa-via-otplib.md","docs/architecture/decisions","ADR-0003: MFA via TOTP (otplib) + AES-GCM encrypted secrets + backup codes"
"docs/adr/0004-kontava-module-vocabulary-and-ownership.md","docs/architecture/decisions/0004-kontava-module-vocabulary-and-ownership.md","docs/architecture/decisions","ADR 0004: Kontava Module Vocabulary And Ownership"
"docs/adr/0005-kontava-evidence-grade-language.md","docs/architecture/decisions/0005-kontava-evidence-grade-language.md","docs/architecture/decisions","ADR 0005: Kontava Evidence Grade Language"
"docs/adr/0006-kontava-proof-trail-contract.md","docs/architecture/decisions/0006-kontava-proof-trail-contract.md","docs/architecture/decisions","ADR 0006: Kontava Proof Trail Contract"
"docs/adr/0007-kontava-module-entitlement-observe-mode.md","docs/architecture/decisions/0007-kontava-module-entitlement-observe-mode.md","docs/architecture/decisions","ADR 0007: Kontava Module Entitlement Observe Mode"
"docs/adr/0008-kontava-snapshot-read-model-strategy.md","docs/architecture/decisions/0008-kontava-snapshot-read-model-strategy.md","docs/architecture/decisions","ADR 0008: Kontava Snapshot Read-Model Strategy"
"docs/adr/0009-kontava-redaction-sensitive-data-policy.md","docs/architecture/decisions/0009-kontava-redaction-sensitive-data-policy.md","docs/architecture/decisions","ADR 0009: Kontava Redaction And Sensitive Data Policy"
"docs/adr/0010-kontava-moat-release-gates.md","docs/architecture/decisions/0010-kontava-moat-release-gates.md","docs/architecture/decisions","ADR 0010: Kontava Moat Release Gates"
"docs/adr/0011-kontava-module-ownership-inventory.md","docs/architecture/decisions/0011-kontava-module-ownership-inventory.md","docs/architecture/decisions","ADR 0011: Kontava Module Ownership Inventory"
"docs/ACCOUNTING_BACKBONE.md","docs/architecture/system/ACCOUNTING_BACKBONE.md","docs/architecture/system","Accounting Backbone Status And Next Steps"
